Year,State,TOT_POP,WHT,BLK,AI_ALSK,ASN,NH_PI,POV_AA,UN_EMP,TOT_POP_25,LESS_9,9_12_NO_D,HSC_EQU,SC_NO_D,ASSO,BACH,GRAD
2012,Pennsylvania,12768034,10643547,1465605,42452,389244,7852,1688364,505625,8756317,3.6,7.5,36.8,16.5,7.9,17,10.9
2012,Rhode Island,1052761,902597,78265,9828,34304,1729,143625,58053,712271,6.4,7.5,27.9,18.1,8.8,18.7,12.8
2012,South Carolina,4719009,3225417,1321252,25271,67771,4105,837327,201260,3151616,5.2,10,29.8,21.1,8.9,16,9.1
2012,South Dakota,832576,716516,13747,75187,9571,566,109661,18941,544292,4.3,5.2,32.7,21.7,9.9,18.1,8.1
2012,Tennessee,6450632,5111790,1096252,27584,103557,5799,1135205,242726,4336473,5.7,9.1,33.1,21.3,6.5,15.7,8.6
2012,Texas,26078327,21015047,3210084,260502,1110282,33548,4565185,851780,16390379,9.2,9.4,25.2,22.9,6.6,17.7,9
2012,Utah,2854222,2620783,36199,42751,63575,27443,364124,74164,1641335,3,6,23.1,27.5,9.7,20.3,10.4
2012,Vermont,625606,596461,7004,2324,8869,191,71626,17573,434948,2.9,5.4,30.5,16.4,9,21.9,13.9
2012,Virginia,8188656,5824459,1609922,42700,488392,8675,936384,255857,5504766,5,7.1,25.3,20,7.2,20.6,14.9
2012,Washington,6890899,5616670,269778,129115,532869,46332,916976,282011,4645859,4,5.6,23.7,25.4,9.6,20.3,11.3
2012,West Virginia,1855360,1744690,64708,4199,13678,525,323978,60533,1296201,5.6,9.9,40.6,19,6.3,11.4,7.3
2012,Wisconsin,5721075,5043795,374054,62445,142680,2714,738226,216563,3854170,3.3,5.9,32.4,21.2,10,17.9,9.3
2012,Wyoming,576608,537477,7654,15149,5221,539,66879,16335,380942,2.3,6,30.4,26.6,10,16.9,7.8
2013,Alabama,4827660,3371009,1284249,32869,61899,4907,889091,156957,3225447,4.9,10.6,31,22,8,14.8,8.7
2013,Alaska,736760,494614,27150,110486,43672,9092,72643,25491,462659,3.1,5.3,27.9,27.5,8.3,18.2,9.8
2013,Arizona,6616124,5557514,305287,353200,211388,17106,1206948,234728,4344737,6.4,7.7,24.8,25.1,8.6,17.1,10.3
2013,Arkansas,2956780,2361882,461405,27529,42899,7834,557399,95717,1960503,5.6,10,35.3,22.4,6.1,13.4,7.2
2013,California,38347383,28190692,2511827,632941,5424022,190091,6328064,1666589,25147232,10.1,8.2,20.8,22,7.9,19.5,11.5
2013,Colorado,5262556,4631093,230212,82401,161399,9489,665351,189597,3514235,3.7,5.8,21.7,22.8,8.3,23.8,14
2013,Connecticut,3602470,2938667,408815,18259,156013,3629,373387,145573,2465315,4.5,5.9,27.3,17.7,7.5,20.6,16.6
2013,Delaware,925114,656786,205358,5942,33887,768,115774,29609,629730,3.9,7.7,31.2,19.7,7.7,17.2,12.6
2013,District of Columbia,650114,281385,322188,3825,24988,924,115096,63550,453014,3.8,6.1,18.6,13.4,3.1,22.7,32.4
2013,Florida,19584927,15278917,3284090,94712,527075,20843,3268130,683663,13726996,5.3,7.9,29.5,20.7,9.5,17.6,9.7
2013,Georgia,9981773,6221004,3139739,50047,370267,11113,1849944,389783,6472172,5.6,9,28.6,21.2,7.4,17.8,10.6
2013,Hawaii,1408038,364996,27637,5405,537421,144248,153375,31866,959903,3.9,5.1,27.4,22,10.4,20.8,10.4
2013,Idaho,1610187,1509532,12436,27591,22020,3111,246708,47197,1026889,4.3,6.3,27.4,26.7,9.1,18,8.2
2013,Illinois,12890403,10014744,1899010,74233,664233,7931,1841996,592724,8593665,5.5,6.6,27,21.1,7.6,19.8,12.4
2013,Indiana,6567484,5667053,623656,25564,127057,3912,1008411,244131,4312892,4.1,8.3,34.3,21.3,8.2,15.2,8.6
2013,Iowa,3089876,2852480,101896,15010,66676,2894,377037,79299,2048270,3.1,5.3,32.7,21.4,11.1,18.1,8.4
2013,Kansas,2892900,2520369,178307,34002,78374,2968,391718,78700,1872445,4,5.9,26.6,24.6,7.8,20,11.1
2013,Kentucky,4399121,3891924,357817,12570,57934,3425,803044,164563,2953653,6.6,9.3,33.1,20.8,7.6,13.3,9.3
2013,Louisiana,4626795,2937531,1503264,34919,79546,2848,897284,140877,3034973,5.8,11.1,33.6,21.5,5.4,14.9,7.6
2013,Maine,1327975,1264091,18287,8979,15038,424,181386,46895,953962,2.9,5.2,33.8,20.2,9.6,18.1,10.1
2013,Maryland,5932654,3581827,1794612,32424,364341,5954,591457,205854,4018701,4.1,6.7,25.7,19.8,6.3,20.3,17.1
2013,Massachusetts,6711138,5570175,550192,31500,409539,6549,770922,236035,4604795,4.9,5.2,25.9,16,7.7,22.5,17.8
2013,Michigan,9899219,7922007,1411189,70253,273076,3739,1646038,415915,6645295,3.3,7.3,29.7,23.9,8.9,16.4,10.5
2013,Minnesota,5416074,4659487,311798,71871,246778,3265,592526,146834,3629333,3.1,4.5,26.3,21.9,10.6,22.4,11.1
2013,Mississippi,2987721,1786520,1118994,17401,29149,1705,692058,108725,1931054,6.3,11.3,30.6,23,8.4,12.9,7.5
2013,Missouri,6041142,5054356,711466,32130,111349,8031,928778,202767,4047283,3.7,7.6,31.5,22.6,7.6,16.9,10
2013,Montana,1011921,906144,5405,66848,7421,822,159248,27710,689169,2.2,5.1,29.1,26.2,8.5,19.7,9.3
2013,Nebraska,1867414,1673523,90650,25501,39388,2131,234742,38357,1215208,4.4,5.4,27.1,23.9,9.8,19.6,9.8
2013,Nevada,2786547,2137300,249915,44885,225725,20514,433267,133035,1872884,6,8.8,28.4,26,8.1,15.1,7.5
2013,New Hampshire,1322622,1247072,18356,3702,32566,556,115146,37751,924568,2.9,4.4,29.3,19.4,9.5,21.9,12.6
2013,New Jersey,8913735,6541243,1313732,51825,820093,8615,995390,374732,6086705,5.5,6,28.8,16.8,6.4,22.6,14
2013,New Mexico,2085161,1729336,50594,218474,33932,3248,437923,64095,1361846,7.4,8.4,26.5,23.5,7.8,15,11.4
2013,New York,19712514,13955282,3462008,188870,1625043,25705,3068230,745382,13419310,6.8,7.6,26.8,16.1,8.6,19.3,14.8
2013,North Carolina,9849812,7053935,2176364,153492,256124,11591,1711331,374826,6568110,5.4,8.8,26.5,22,8.8,18.4,9.9
2013,North Dakota,722908,646742,13357,39850,9195,407,81055,11801,467815,4.1,4.4,27.5,23.1,13.8,20,7.2
2013,Ohio,11567845,9618574,1455025,31141,222970,5749,1793523,426121,7805254,3.2,7.8,34.2,20.5,8.2,16.4,9.7
2013,Oklahoma,3849840,2898523,295299,351076,77592,6415,624209,95212,2506437,4.4,8.9,32.3,23.5,7.2,16.1,7.7
